C macros	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
CLD_CONTINUED	CLD_CONTINUED	CLD_CONTINUED	CLD_CONTINUED	CLD_CONTINUED	CLD_CONTINUED
CLD_DUMPED	CLD_DUMPED	CLD_DUMPED	CLD_DUMPED	CLD_DUMPED	CLD_DUMPED
CLD_EXITED	CLD_EXITED	CLD_EXITED	CLD_EXITED	CLD_EXITED	CLD_EXITED
CLD_KILLED	CLD_KILLED	CLD_KILLED	CLD_KILLED	CLD_KILLED	CLD_KILLED
CLD_STOPPED	CLD_STOPPED	CLD_STOPPED	CLD_STOPPED	CLD_STOPPED	CLD_STOPPED
CLD_TRAPPED	CLD_TRAPPED	CLD_TRAPPED	CLD_TRAPPED	CLD_TRAPPED	CLD_TRAPPED
CLNEXT	CTRL(&#39;v&#39;)	CTRL(&#39;v&#39;)	CTRL(&#39;v&#39;)	CTRL(&#39;v&#39;)	CTRL(&#39;v&#39;)
CLOCKS_PER_SEC	1000000l	1000000l	1000000l	1000000l	1000000l
CLOCK_BOOTTIME	7	7	7	???	???
CLOCK_BOOTTIME_ALARM	9	9	9	???	???
CLOCK_MONOTONIC	1	1	1	1	1
CLOCK_MONOTONIC_COARSE	6	6	6	???	???
CLOCK_MONOTONIC_RAW	4	4	4	???	???
CLOCK_PROCESS_CPUTIME_ID	2	2	2	2	2
CLOCK_REALTIME	0	0	0	0	0
CLOCK_REALTIME_ALARM	8	8	8	???	???
CLOCK_REALTIME_COARSE	5	5	5	???	???
CLOCK_THREAD_CPUTIME_ID	3	3	3	3	3
CMIN	1	1	1	1	1
COLL_WEIGHTS_MAX	255	255	255	255	255
CQUIT	034	034	034	034	034
CREPRINT	CTRL(&#39;r&#39;)	CTRL(&#39;r&#39;)	CTRL(&#39;r&#39;)	CTRL(&#39;r&#39;)	CTRL(&#39;r&#39;)
CRPRNT	CREPRINT	CREPRINT	CREPRINT	CREPRINT	CREPRINT
CSTART	CTRL(&#39;q&#39;)	CTRL(&#39;q&#39;)	CTRL(&#39;q&#39;)	CTRL(&#39;q&#39;)	CTRL(&#39;q&#39;)
CSTATUS	&#39;\0&#39;	&#39;\0&#39;	&#39;\0&#39;	&#39;\0&#39;	&#39;\0&#39;
CSTOP	CTRL(&#39;s&#39;)	CTRL(&#39;s&#39;)	CTRL(&#39;s&#39;)	CTRL(&#39;s&#39;)	CTRL(&#39;s&#39;)
CSUSP	CTRL(&#39;z&#39;)	CTRL(&#39;z&#39;)	CTRL(&#39;z&#39;)	CTRL(&#39;z&#39;)	CTRL(&#39;z&#39;)
CTIME	0	0	0	0	0
CTRL(x)	(x&amp;037)	(x&amp;037)	(x&amp;037)	(x&amp;037)	(x&amp;037)
CWERASE	CTRL(&#39;w&#39;)	CTRL(&#39;w&#39;)	CTRL(&#39;w&#39;)	CTRL(&#39;w&#39;)	CTRL(&#39;w&#39;)
DEFFILEMODE	(S_IRUSR|S_IWUSR|S_IRGRP|S_IWGRP|S_IROTH|S_IWOTH)	(S_IRUSR|S_IWUSR|S_IRGRP|S_IWGRP|S_IROTH|S_IWOTH)	(S_IRUSR|S_IWUSR|S_IRGRP|S_IWGRP|S_IROTH|S_IWOTH)	(S_IRUSR|S_IWUSR|S_IRGRP|S_IWGRP|S_IROTH|S_IWOTH)	(S_IRUSR|S_IWUSR|S_IRGRP|S_IWGRP|S_IROTH|S_IWOTH)
DELAYTIMER_MAX	2147483647	2147483647	2147483647	2147483647	2147483647
DF_1_CONFALT	0x00002000	0x00002000	0x00002000	0x00002000	0x00002000
DF_1_DIRECT	0x00000100	0x00000100	0x00000100	0x00000100	0x00000100
DF_1_DISPRELDNE	0x00008000	0x00008000	0x00008000	0x00008000	0x00008000
DF_1_DISPRELPND	0x00010000	0x00010000	0x00010000	0x00010000	0x00010000
DF_1_EDITED	0x00200000	0x00200000	0x00200000	???	???
DF_1_ENDFILTEE	0x00004000	0x00004000	0x00004000	0x00004000	0x00004000
DF_1_GLOBAL	0x00000002	0x00000002	0x00000002	0x00000002	0x00000002
DF_1_GLOBAUDIT	0x01000000	0x01000000	0x01000000	???	???
DF_1_GROUP	0x00000004	0x00000004	0x00000004	0x00000004	0x00000004
DF_1_IGNMULDEF	0x00040000	0x00040000	0x00040000	???	???
DF_1_INITFIRST	0x00000020	0x00000020	0x00000020	0x00000020	0x00000020
DF_1_INTERPOSE	0x00000400	0x00000400	0x00000400	0x00000400	0x00000400
DF_1_LOADFLTR	0x00000010	0x00000010	0x00000010	0x00000010	0x00000010
DF_1_NODEFLIB	0x00000800	0x00000800	0x00000800	0x00000800	0x00000800
DF_1_NODELETE	0x00000008	0x00000008	0x00000008	0x00000008	0x00000008
DF_1_NODIRECT	0x00020000	0x00020000	0x00020000	???	???
DF_1_NODUMP	0x00001000	0x00001000	0x00001000	0x00001000	0x00001000
DF_1_NOHDR	0x00100000	0x00100000	0x00100000	???	???
DF_1_NOKSYMS	0x00080000	0x00080000	0x00080000	???	???
DF_1_NOOPEN	0x00000040	0x00000040	0x00000040	0x00000040	0x00000040
DF_1_NORELOC	0x00400000	0x00400000	0x00400000	???	???
DF_1_NOW	0x00000001	0x00000001	0x00000001	0x00000001	0x00000001
DF_1_ORIGIN	0x00000080	0x00000080	0x00000080	0x00000080	0x00000080
DF_1_SINGLETON	0x02000000	0x02000000	0x02000000	???	???
DF_1_SYMINTPOSE	0x00800000	0x00800000	0x00800000	???	???
DF_1_TRANS	0x00000200	0x00000200	0x00000200	0x00000200	0x00000200
DF_BIND_NOW	0x00000008	0x00000008	0x00000008	0x00000008	0x00000008
DF_ORIGIN	0x00000001	0x00000001	0x00000001	0x00000001	0x00000001
DF_P1_GROUPPERM	0x00000002	0x00000002	0x00000002	0x00000002	0x00000002
DF_P1_LAZYLOAD	0x00000001	0x00000001	0x00000001	0x00000001	0x00000001
DF_STATIC_TLS	0x00000010	0x00000010	0x00000010	0x00000010	0x00000010
DF_SYMBOLIC	0x00000002	0x00000002	0x00000002	0x00000002	0x00000002
DF_TEXTREL	0x00000004	0x00000004	0x00000004	0x00000004	0x00000004
DL_CALL_FCT(fctp,args)	(_dl_mcount_wrapper_check ((void *) (fctp)), (*(fctp)) args)	(_dl_mcount_wrapper_check ((void *) (fctp)), (*(fctp)) args)	(_dl_mcount_wrapper_check ((void *) (fctp)), (*(fctp)) args)	(_dl_mcount_wrapper_check ((void *) (fctp)), (*(fctp)) args)	(_dl_mcount_wrapper_check ((void *) (fctp)), (*(fctp)) args)
DN_ACCESS	0x00000001	0x00000001	0x00000001	0x00000001	0x00000001
DN_ATTRIB	0x00000020	0x00000020	0x00000020	0x00000020	0x00000020
DN_CREATE	0x00000004	0x00000004	0x00000004	0x00000004	0x00000004
DN_DELETE	0x00000008	0x00000008	0x00000008	0x00000008	0x00000008
DN_MODIFY	0x00000002	0x00000002	0x00000002	0x00000002	0x00000002
DN_MULTISHOT	0x80000000	0x80000000	0x80000000	0x80000000	0x80000000
DN_RENAME	0x00000010	0x00000010	0x00000010	0x00000010	0x00000010
DOMAIN	1	1	1	1	1
DTF_1_CONFEXP	0x00000002	0x00000002	0x00000002	0x00000002	0x00000002
DTF_1_PARINIT	0x00000001	0x00000001	0x00000001	0x00000001	0x00000001
DT_ADDRNUM	11	11	11	11	11
DT_ADDRRNGHI	0x6ffffeff	0x6ffffeff	0x6ffffeff	0x6ffffeff	0x6ffffeff
DT_ADDRRNGLO	0x6ffffe00	0x6ffffe00	0x6ffffe00	0x6ffffe00	0x6ffffe00
DT_ADDRTAGIDX(tag)	(DT_ADDRRNGHI - (tag))	(DT_ADDRRNGHI - (tag))	(DT_ADDRRNGHI - (tag))	(DT_ADDRRNGHI - (tag))	(DT_ADDRRNGHI - (tag))
DT_ALPHA_NUM	1	1	1	1	1
DT_ALPHA_PLTRO	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)
DT_AUDIT	0x6ffffefc	0x6ffffefc	0x6ffffefc	0x6ffffefc	0x6ffffefc
DT_AUXILIARY	0x7ffffffd	0x7ffffffd	0x7ffffffd	0x7ffffffd	0x7ffffffd
DT_BIND_NOW	24	24	24	24	24
DT_CHECKSUM	0x6ffffdf8	0x6ffffdf8	0x6ffffdf8	0x6ffffdf8	0x6ffffdf8
DT_CONFIG	0x6ffffefa	0x6ffffefa	0x6ffffefa	0x6ffffefa	0x6ffffefa
DT_DEBUG	21	21	21	21	21
DT_DEPAUDIT	0x6ffffefb	0x6ffffefb	0x6ffffefb	0x6ffffefb	0x6ffffefb
DT_ENCODING	32	32	32	32	32
DT_EXTRANUM	3	3	3	3	3
DT_EXTRATAGIDX(tag)	((Elf32_Word)-((Elf32_Sword) (tag) &lt;&lt;1&gt;&gt;1)-1)	((Elf32_Word)-((Elf32_Sword) (tag) &lt;&lt;1&gt;&gt;1)-1)	((Elf32_Word)-((Elf32_Sword) (tag) &lt;&lt;1&gt;&gt;1)-1)	((Elf32_Word)-((Elf32_Sword) (tag) &lt;&lt;1&gt;&gt;1)-1)	((Elf32_Word)-((Elf32_Sword) (tag) &lt;&lt;1&gt;&gt;1)-1)
DT_FEATURE_1	0x6ffffdfc	0x6ffffdfc	0x6ffffdfc	0x6ffffdfc	0x6ffffdfc
DT_FILTER	0x7fffffff	0x7fffffff	0x7fffffff	0x7fffffff	0x7fffffff
DT_FINI	13	13	13	13	13
DT_FINI_ARRAY	26	26	26	26	26
DT_FINI_ARRAYSZ	28	28	28	28	28
DT_FLAGS	30	30	30	30	30
DT_FLAGS_1	0x6ffffffb	0x6ffffffb	0x6ffffffb	0x6ffffffb	0x6ffffffb
DT_GNU_CONFLICT	0x6ffffef8	0x6ffffef8	0x6ffffef8	0x6ffffef8	0x6ffffef8
DT_GNU_CONFLICTSZ	0x6ffffdf6	0x6ffffdf6	0x6ffffdf6	0x6ffffdf6	0x6ffffdf6
DT_GNU_HASH	0x6ffffef5	0x6ffffef5	0x6ffffef5	0x6ffffef5	0x6ffffef5
DT_GNU_LIBLIST	0x6ffffef9	0x6ffffef9	0x6ffffef9	0x6ffffef9	0x6ffffef9
DT_GNU_LIBLISTSZ	0x6ffffdf7	0x6ffffdf7	0x6ffffdf7	0x6ffffdf7	0x6ffffdf7
DT_GNU_PRELINKED	0x6ffffdf5	0x6ffffdf5	0x6ffffdf5	0x6ffffdf5	0x6ffffdf5
DT_HASH	4	4	4	4	4
DT_HIOS	0x6ffff000	0x6ffff000	0x6ffff000	0x6ffff000	0x6ffff000
DT_HIPROC	0x7fffffff	0x7fffffff	0x7fffffff	0x7fffffff	0x7fffffff
DT_IA_64_NUM	1	1	1	1	1
DT_IA_64_PLT_RESERVE	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)
DT_INIT	12	12	12	12	12
DT_INIT_ARRAY	25	25	25	25	25
DT_INIT_ARRAYSZ	27	27	27	27	27
DT_JMPREL	23	23	23	23	23
DT_LOOS	0x6000000d	0x6000000d	0x6000000d	0x6000000d	0x6000000d
DT_LOPROC	0x70000000	0x70000000	0x70000000	0x70000000	0x70000000
DT_MIPS_AUX_DYNAMIC	0x70000031	0x70000031	0x70000031	0x70000031	0x70000031
DT_MIPS_BASE_ADDRESS	0x70000006	0x70000006	0x70000006	0x70000006	0x70000006
DT_MIPS_COMPACT_SIZE	0x7000002f	0x7000002f	0x7000002f	0x7000002f	0x7000002f
DT_MIPS_CONFLICT	0x70000008	0x70000008	0x70000008	0x70000008	0x70000008
DT_MIPS_CONFLICTNO	0x7000000b	0x7000000b	0x7000000b	0x7000000b	0x7000000b
DT_MIPS_CXX_FLAGS	0x70000022	0x70000022	0x70000022	0x70000022	0x70000022
DT_MIPS_DELTA_CLASS	0x70000017	0x70000017	0x70000017	0x70000017	0x70000017
DT_MIPS_DELTA_CLASSSYM	0x70000020	0x70000020	0x70000020	0x70000020	0x70000020
DT_MIPS_DELTA_CLASSSYM_NO	0x70000021	0x70000021	0x70000021	0x70000021	0x70000021
DT_MIPS_DELTA_CLASS_NO	0x70000018	0x70000018	0x70000018	0x70000018	0x70000018
DT_MIPS_DELTA_INSTANCE	0x70000019	0x70000019	0x70000019	0x70000019	0x70000019
DT_MIPS_DELTA_INSTANCE_NO	0x7000001a	0x7000001a	0x7000001a	0x7000001a	0x7000001a
DT_MIPS_DELTA_RELOC	0x7000001b	0x7000001b	0x7000001b	0x7000001b	0x7000001b
DT_MIPS_DELTA_RELOC_NO	0x7000001c	0x7000001c	0x7000001c	0x7000001c	0x7000001c
DT_MIPS_DELTA_SYM	0x7000001d	0x7000001d	0x7000001d	0x7000001d	0x7000001d
DT_MIPS_DELTA_SYM_NO	0x7000001e	0x7000001e	0x7000001e	0x7000001e	0x7000001e
DT_MIPS_DYNSTR_ALIGN	0x7000002b	0x7000002b	0x7000002b	0x7000002b	0x7000002b
DT_MIPS_FLAGS	0x70000005	0x70000005	0x70000005	0x70000005	0x70000005
DT_MIPS_GOTSYM	0x70000013	0x70000013	0x70000013	0x70000013	0x70000013
DT_MIPS_GP_VALUE	0x70000030	0x70000030	0x70000030	0x70000030	0x70000030
DT_MIPS_HIDDEN_GOTIDX	0x70000027	0x70000027	0x70000027	0x70000027	0x70000027
DT_MIPS_HIPAGENO	0x70000014	0x70000014	0x70000014	0x70000014	0x70000014
DT_MIPS_ICHECKSUM	0x70000003	0x70000003	0x70000003	0x70000003	0x70000003
DT_MIPS_INTERFACE	0x7000002a	0x7000002a	0x7000002a	0x7000002a	0x7000002a
DT_MIPS_INTERFACE_SIZE	0x7000002c	0x7000002c	0x7000002c	0x7000002c	0x7000002c
DT_MIPS_IVERSION	0x70000004	0x70000004	0x70000004	0x70000004	0x70000004
DT_MIPS_LIBLIST	0x70000009	0x70000009	0x70000009	0x70000009	0x70000009
DT_MIPS_LIBLISTNO	0x70000010	0x70000010	0x70000010	0x70000010	0x70000010
DT_MIPS_LOCALPAGE_GOTIDX	0x70000025	0x70000025	0x70000025	0x70000025	0x70000025
DT_MIPS_LOCAL_GOTIDX	0x70000026	0x70000026	0x70000026	0x70000026	0x70000026
DT_MIPS_LOCAL_GOTNO	0x7000000a	0x7000000a	0x7000000a	0x7000000a	0x7000000a
DT_MIPS_MSYM	0x70000007	0x70000007	0x70000007	0x70000007	0x70000007
DT_MIPS_NUM	0x35	0x35	0x35	0x35	0x35
DT_MIPS_OPTIONS	0x70000029	0x70000029	0x70000029	0x70000029	0x70000029
DT_MIPS_PERF_SUFFIX	0x7000002e	0x7000002e	0x7000002e	0x7000002e	0x7000002e
DT_MIPS_PIXIE_INIT	0x70000023	0x70000023	0x70000023	0x70000023	0x70000023
DT_MIPS_PLTGOT	0x70000032	0x70000032	0x70000032	0x70000032	0x70000032
DT_MIPS_PROTECTED_GOTIDX	0x70000028	0x70000028	0x70000028	0x70000028	0x70000028
DT_MIPS_RLD_MAP	0x70000016	0x70000016	0x70000016	0x70000016	0x70000016
DT_MIPS_RLD_TEXT_RESOLVE_ADDR	0x7000002d	0x7000002d	0x7000002d	0x7000002d	0x7000002d
DT_MIPS_RLD_VERSION	0x70000001	0x70000001	0x70000001	0x70000001	0x70000001
DT_MIPS_RWPLT	0x70000034	0x70000034	0x70000034	0x70000034	0x70000034
DT_MIPS_SYMBOL_LIB	0x70000024	0x70000024	0x70000024	0x70000024	0x70000024
DT_MIPS_SYMTABNO	0x70000011	0x70000011	0x70000011	0x70000011	0x70000011
DT_MIPS_TIME_STAMP	0x70000002	0x70000002	0x70000002	0x70000002	0x70000002
DT_MIPS_UNREFEXTNO	0x70000012	0x70000012	0x70000012	0x70000012	0x70000012
DT_MOVEENT	0x6ffffdfa	0x6ffffdfa	0x6ffffdfa	0x6ffffdfa	0x6ffffdfa
DT_MOVESZ	0x6ffffdfb	0x6ffffdfb	0x6ffffdfb	0x6ffffdfb	0x6ffffdfb
DT_MOVETAB	0x6ffffefe	0x6ffffefe	0x6ffffefe	0x6ffffefe	0x6ffffefe
DT_NEEDED	1	1	1	1	1
DT_NULL	0	0	0	0	0
DT_NUM	34	34	34	34	34
DT_PLTGOT	3	3	3	3	3
DT_PLTPAD	0x6ffffefd	0x6ffffefd	0x6ffffefd	0x6ffffefd	0x6ffffefd
DT_PLTPADSZ	0x6ffffdf9	0x6ffffdf9	0x6ffffdf9	0x6ffffdf9	0x6ffffdf9
DT_PLTREL	20	20	20	20	20
DT_PLTRELSZ	2	2	2	2	2
DT_POSFLAG_1	0x6ffffdfd	0x6ffffdfd	0x6ffffdfd	0x6ffffdfd	0x6ffffdfd
DT_PPC64_GLINK	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)
DT_PPC64_NUM	3	3	3	3	3
DT_PPC64_OPD	(DT_LOPROC + 1)	(DT_LOPROC + 1)	(DT_LOPROC + 1)	(DT_LOPROC + 1)	(DT_LOPROC + 1)
DT_PPC64_OPDSZ	(DT_LOPROC + 2)	(DT_LOPROC + 2)	(DT_LOPROC + 2)	(DT_LOPROC + 2)	(DT_LOPROC + 2)
DT_PPC_GOT	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)	(DT_LOPROC + 0)
DT_PPC_NUM	1	1	1	1	1
DT_PREINIT_ARRAY	32	32	32	32	32
DT_PREINIT_ARRAYSZ	33	33	33	33	33
DT_PROCNUM	DT_MIPS_NUM	DT_MIPS_NUM	DT_MIPS_NUM	DT_MIPS_NUM	DT_MIPS_NUM
DT_REL	17	17	17	17	17
DT_RELA	7	7	7	7	7
DT_RELACOUNT	0x6ffffff9	0x6ffffff9	0x6ffffff9	0x6ffffff9	0x6ffffff9
DT_RELAENT	9	9	9	9	9
DT_RELASZ	8	8	8	8	8
DT_RELCOUNT	0x6ffffffa	0x6ffffffa	0x6ffffffa	0x6ffffffa	0x6ffffffa
DT_RELENT	19	19	19	19	19
DT_RELSZ	18	18	18	18	18
DT_RPATH	15	15	15	15	15
DT_RUNPATH	29	29	29	29	29
DT_SONAME	14	14	14	14	14
DT_SPARC_NUM	2	2	2	2	2
DT_SPARC_REGISTER	0x70000001	0x70000001	0x70000001	0x70000001	0x70000001
DT_STRSZ	10	10	10	10	10
DT_STRTAB	5	5	5	5	5
DT_SYMBOLIC	16	16	16	16	16
DT_SYMENT	11	11	11	11	11
DT_SYMINENT	0x6ffffdff	0x6ffffdff	0x6ffffdff	0x6ffffdff	0x6ffffdff
DT_SYMINFO	0x6ffffeff	0x6ffffeff	0x6ffffeff	0x6ffffeff	0x6ffffeff
DT_SYMINSZ	0x6ffffdfe	0x6ffffdfe	0x6ffffdfe	0x6ffffdfe	0x6ffffdfe
DT_SYMTAB	6	6	6	6	6
DT_TEXTREL	22	22	22	22	22
DT_TLSDESC_GOT	0x6ffffef7	0x6ffffef7	0x6ffffef7	0x6ffffef7	0x6ffffef7
DT_TLSDESC_PLT	0x6ffffef6	0x6ffffef6	0x6ffffef6	0x6ffffef6	0x6ffffef6
DT_VALNUM	12	12	12	12	12
DT_VALRNGHI	0x6ffffdff	0x6ffffdff	0x6ffffdff	0x6ffffdff	0x6ffffdff
DT_VALRNGLO	0x6ffffd00	0x6ffffd00	0x6ffffd00	0x6ffffd00	0x6ffffd00
DT_VALTAGIDX(tag)	(DT_VALRNGHI - (tag))	(DT_VALRNGHI - (tag))	(DT_VALRNGHI - (tag))	(DT_VALRNGHI - (tag))	(DT_VALRNGHI - (tag))
DT_VERDEF	0x6ffffffc	0x6ffffffc	0x6ffffffc	0x6ffffffc	0x6ffffffc
DT_VERDEFNUM	0x6ffffffd	0x6ffffffd	0x6ffffffd	0x6ffffffd	0x6ffffffd
DT_VERNEED	0x6ffffffe	0x6ffffffe	0x6ffffffe	0x6ffffffe	0x6ffffffe
DT_VERNEEDNUM	0x6fffffff	0x6fffffff	0x6fffffff	0x6fffffff	0x6fffffff
DT_VERSIONTAGIDX(tag)	(DT_VERNEEDNUM - (tag))	(DT_VERNEEDNUM - (tag))	(DT_VERNEEDNUM - (tag))	(DT_VERNEEDNUM - (tag))	(DT_VERNEEDNUM - (tag))
DT_VERSIONTAGNUM	16	16	16	16	16
DT_VERSYM	0x6ffffff0	0x6ffffff0	0x6ffffff0	0x6ffffff0	0x6ffffff0
E2BIG	7	7	7	7	7
EACCES	13	13	13	13	13
EADDRINUSE	98	98	98	98	98
EADDRNOTAVAIL	99	99	99	99	99
EADV	68	68	68	68	68
EAFNOSUPPORT	97	97	97	97	97
EAGAIN	11	11	11	11	11
EALREADY	114	114	114	114	114
EBADE	52	52	52	52	52
EBADF	9	9	9	9	9
EBADFD	77	77	77	77	77
EBADMSG	74	74	74	74	74
EBADR	53	53	53	53	53
