sizeof(XXX)	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
gaih_service	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
gaih_servtuple	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
gaih_typeproto	20 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
gconvcache_header	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
gconv_alias	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
gconv_fcts	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
gconv_module	56 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
getcpu_cache	???	???	???	???	128 (struct)
getcredres	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
getent_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
getent_r_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
get_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
gidx_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
gid_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
glob64_t	???	??? (<anonymous>)	???	???	???
globnames	528 (struct)	264 (struct)	264 (struct)	264 (struct)	264 (struct)
glob_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
gmonparam	104 (struct)	52 (struct)	52 (struct)	52 (struct)	52 (struct)
gmon_cg_arc_record	20 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
gmon_hdr	???	???	???	20 (struct)	20 (struct)
gmon_hist_hdr	???	???	???	32 (struct)	32 (struct)
gregset_t	8 (long long int[])	???	4 (long long int[])	4 (long int[])	4 (int[])
greg_t	8 (long long int)	???	8 (long long int)	4 (long int)	4 (int)
group	72 (struct)	36 (struct)	36 (struct)	36 (struct)	36 (struct)
group_filter	272 (struct)	268 (struct)	268 (struct)	268 (struct)	268 (struct)
gr_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
hashentry	32 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
hash_entry	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
hconf	72 (struct)	48 (struct)	48 (struct)	48 (struct)	48 (struct)
hdr	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
heap_info	32 (_heap_info)	16 (_heap_info)	24 (_heap_info)	16 (_heap_info)	16 (_heap_info)
helper_file	576 (struct)	356 (struct)	368 (struct)	368 (struct)	368 (struct)
hol	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
hol_cluster	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
hol_entry	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
hol_help_state	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
hostent	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
host_addr_list_t	8 (char*[])	4 (char*[])	4 (char*[])	4 (char*[])	4 (char*[])
host_addr_t	8 (unsigned char[])	4 (unsigned char[])	4 (unsigned char[])	4 (unsigned char[])	4 (unsigned char[])
hp_timing_t	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	???
hsearch_data	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
hst_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
iaddr	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
iconv_t	8 (void*)	4 (void*)	4 (void*)	4 (void*)	4 (void*)
idtype_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
id_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
ieee754_double	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ieee754_float	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
ieee854_long_double	16 (struct)	12 (struct)	16 (struct)	16 (struct)	16 (struct)
ieee_double_shape_type	???	??? (<anonymous>)	???	??? (<anonymous>)	??? (<anonymous>)
ieee_float_shape_type	???	??? (<anonymous>)	???	??? (<anonymous>)	??? (<anonymous>)
ieee_long_double_shape_type	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	???	??? (<anonymous>)
ifaddrmsg	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ifaddrs	56 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
ifaddrs_storage	184 (struct)	156 (struct)	156 (struct)	156 (struct)	156 (struct)
ifconf	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ifinfomsg	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
ifmap	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
ifreq	40 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
if_nameindex	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
in6addrinfo	24 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
in6ailist	32 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
in6_addr	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
initgroups_dyn_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
initgr_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
innetgroup_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	???	???
ino64_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
ino_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
int	4 (basic)	4 (basic)	4 (basic)	4 (basic)	4 (basic)
int16_t	2 (short int)	2 (short int)	2 (short int)	2 (short int)	2 (short int)
int32_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
int64_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
int8_t	1 (signed char)	1 (signed char)	1 (signed char)	1 (signed char)	1 (signed char)
intel_02_cache_info	8 (struct)	8 (struct)	8 (struct)	20 (struct)	20 (struct)
intmax_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
intptr_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
int_fast32_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
in_addr	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
in_addr_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
in_pktinfo	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
in_port_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
iovec	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ip6_ext	2 (struct)	2 (struct)	2 (struct)	2 (struct)	2 (struct)
ip6_hbh	2 (struct)	2 (struct)	2 (struct)	2 (struct)	2 (struct)
ip6_opt	2 (struct)	2 (struct)	2 (struct)	2 (struct)	2 (struct)
ip6_rthdr	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
ip6_rthdr0	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ipc_kludge	???	8 (struct)	???	???	8 (struct)
ipc_perm	???	36 (struct)	???	???	36 (struct)
ip_msfilter	20 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
itimerval	32 (struct)	16 (struct)	32 (struct)	32 (struct)	32 (struct)
kernel_dirent	280 (struct)	268 (struct)	280 (struct)	???	???
kernel_dirent64	???	276 (struct)	280 (struct)	???	???
kernel_sigaction	152 (struct)	140 (struct)	140 (struct)	???	???
kernel_stat	???	64 (struct)	???	???	???
keybuf	8 (char[])	4 (char[])	4 (char[])	4 (char[])	4 (char[])
keystatus	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
key_call_private	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
key_netstarg	104 (struct)	100 (struct)	100 (struct)	100 (struct)	100 (struct)
key_netstres	112 (struct)	104 (struct)	104 (struct)	104 (struct)	104 (struct)
key_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
known_derivation	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
known_function	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
known_object	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
known_trans	88 (struct)	44 (struct)	44 (struct)	44 (struct)	44 (struct)
known_translation_t	64 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
layout	???	8 (struct)	???	???	8 (struct)
La_alpha_regs	???	???	???	???	???
La_alpha_retval	???	???	???	???	???
La_i86_regs	???	20 (struct)	???	???	20 (struct)
La_i86_retval	???	32 (struct)	???	???	24 (struct)
La_ia64_regs	???	???	???	???	???
La_ia64_retval	???	???	???	???	???
La_ppc32_regs	???	???	???	???	???
La_ppc32_retval	???	???	???	???	???
La_ppc64_regs	???	???	???	???	???
La_ppc64_retval	???	???	???	???	???
La_s390_32_regs	???	???	???	???	???
La_s390_32_retval	???	???	???	???	???
La_s390_64_regs	???	???	???	???	???
La_s390_64_retval	???	???	???	???	???
La_sh_regs	???	???	???	???	???
La_sh_retval	???	???	???	???	???
